"id","slug","name","sku","oem","brand","category","group","stock","price","seoUrl"
"230","disk-mersedes-axor-e-m-macasiz-dolu-esd-010-18-ekersan","DİSK MERSEDES AXOR E.M.(MAÇASIZ) DOLU","ESD 010 18","204566","Ekersan","Fren Diski","DİSK","74","4870.81","https://frenciniz.com/urun/230/disk-mersedes-axor-e-m-macasiz-dolu-esd-010-18-ekersan"
"231","fren-diski-mercedes-actros-axor-atego-sk-esd-010-12-ekersan","Fren Diski Mercedes Actros Axor Atego SK","ESD 010 12","9434210312","Ekersan","Fren Diski","DİSK","1291","3857.59","https://frenciniz.com/urun/231/fren-diski-mercedes-actros-axor-atego-sk-esd-010-12-ekersan"
"232","fren-diski-mercedes-atego-esd-010-04-ekersan","Fren Diski Mercedes Atego","ESD 010 04","9754210212, 9754210012, 9754210112","Ekersan","Fren Diski","DİSK","94","3789.91","https://frenciniz.com/urun/232/fren-diski-mercedes-atego-esd-010-04-ekersan"
"233","fren-diski-mercedes-actros-axor-atego-sk-esd-010-03-ekersan","Fren Diski Mercedes Actros Axor Atego SK","ESD 010 03","9754230612, 9754230012, 9754230312","Ekersan","Fren Diski","DİSK","129","3789.91","https://frenciniz.com/urun/233/fren-diski-mercedes-actros-axor-atego-sk-esd-010-03-ekersan"
"234","fren-diski-mercedes-actros-axor-atego-sk-esd-010-02-ekersan","Fren Diski Mercedes Actros Axor Atego SK","ESD 010 02","9424211212, 9424212112, 9424210912, 9424211012, 9424211112, 9424200212","Ekersan","Fren Diski","DİSK","1286","3857.59","https://frenciniz.com/urun/234/fren-diski-mercedes-actros-axor-atego-sk-esd-010-02-ekersan"
"235","fren-diski-mercedes-actros-axor-atego-sk-esd-010-01-ekersan","Fren Diski Mercedes Actros Axor Atego SK","ESD 010 01","3564211012, 3564210312, 3564211212, 3054210312","Ekersan","Fren Diski","DİSK","108","4604.94","https://frenciniz.com/urun/235/fren-diski-mercedes-actros-axor-atego-sk-esd-010-01-ekersan"
"236","12-153-man-arka-73-mm-esb-231-10-ekersan","12-153 Man Arka 73 MM","ESB 231 10","81455010123","Ekersan","Bijon","BİJON","3205","163.57","https://frenciniz.com/urun/236/12-153-man-arka-73-mm-esb-231-10-ekersan"
"237","bijon-man-12-153-ilave-dingil-frezeli-90-mm-esb-230-10-ekersan","BİJON MAN 12.153 İLAVE DİNGİL/FREZELİ-90 MM","ESB 230 10","","Ekersan","Bijon","BİJON","334","178.69","https://frenciniz.com/urun/237/bijon-man-12-153-ilave-dingil-frezeli-90-mm-esb-230-10-ekersan"
"238","bijon-mercedes-2517-2521-arka-frez-128mm-dps-li-esb-192-10-1-ekersan","BİJON MERCEDES 2517-2521 ARKA/FREZ.128MM DPS'Lİ","ESB 192 10-1","3814011471","Ekersan","Bijon","BİJON","198","198.65","https://frenciniz.com/urun/238/bijon-mercedes-2517-2521-arka-frez-128mm-dps-li-esb-192-10-1-ekersan"
"239","axor-actros-yeni-model-arka-92-mm-esb-187-10-ekersan","Axor-Actros Yeni Model Arka 92 mm","ESB 187 10","4014171","Ekersan","Bijon","BİJON","3290","183.64","https://frenciniz.com/urun/239/axor-actros-yeni-model-arka-92-mm-esb-187-10-ekersan"
"240","axor-actros-yeni-model-on-esb-184-20-ekersan","Axor-Actros Yeni Model Ön","ESB 184 20","","Ekersan","Bijon","BİJON","6749","183.64","https://frenciniz.com/urun/240/axor-actros-yeni-model-on-esb-184-20-ekersan"
"241","axor-actros-yeni-model-arka-86-mm-esb-184-10-ekersan","Axor-Actros Yeni Model Arka 86 mm","ESB 184 10","Axor-Actoros Yeni Model Arka 86 mm","Ekersan","Bijon","BİJON","2504","183.64","https://frenciniz.com/urun/241/axor-actros-yeni-model-arka-86-mm-esb-184-10-ekersan"
"242","bijon-mercedes-actros-axor-atego-esb-182-10-ekersan","Bijon Mercedes Actros Axor Atego","ESB 182 10","3814010771-3464010071","Ekersan","Bijon","BİJON","6916","186.39","https://frenciniz.com/urun/242/bijon-mercedes-actros-axor-atego-esb-182-10-ekersan"
"243","bijon-mercedes-mb-800-on-73-mm-esb-170-20-ekersan","BİJON MERCEDES MB 800 ÖN-73 MM","ESB 170 20","3714017071","Ekersan","Bijon","BİJON","180","163.57","https://frenciniz.com/urun/243/bijon-mercedes-mb-800-on-73-mm-esb-170-20-ekersan"
"244","bijon-mercedes-mb-800-arka-86-mm-esb-170-10-ekersan","BİJON MERCEDES MB 800 ARKA-86 MM","ESB 170 10","3714027071","Ekersan","Bijon","BİJON","710","163.57","https://frenciniz.com/urun/244/bijon-mercedes-mb-800-arka-86-mm-esb-170-10-ekersan"
"245","atego-1517-mercedes-arka-esb-142-10-ekersan","Atego 1517 Mercedes Arka","ESB 142 10","3524020071","Ekersan","Bijon","BİJON","1967","170.44","https://frenciniz.com/urun/245/atego-1517-mercedes-arka-esb-142-10-ekersan"
"246","atego-1517-mercedes-on-66-mm-esb-140-20-ekersan","Atego 1517 Mercedes Ön 66 MM","ESB 140 20","3184020271-3274010071-3124011171","Ekersan","Bijon","BİJON","1430","163.57","https://frenciniz.com/urun/246/atego-1517-mercedes-on-66-mm-esb-140-20-ekersan"
"247","atego-1517-mercedes-ilave-dingil-esb-140-10-ekersan","Atego 1517 Mercedes İlave Dingil","ESB 140 10","","Ekersan","Bijon","BİJON","152","182.81","https://frenciniz.com/urun/247/atego-1517-mercedes-ilave-dingil-esb-140-10-ekersan"
"248","bijon-mers-axor-arka-92-mm-frezeli-esb-131-10-1-ekersan","BİJON MERS AXOR ARKA 92 MM FREZELİ","ESB 131 10-1","","Ekersan","Bijon","BİJON","2060","178.69","https://frenciniz.com/urun/248/bijon-mers-axor-arka-92-mm-frezeli-esb-131-10-1-ekersan"
"249","mercedes-dingil-bijon-100-mm-frezeli-d-p-s-li-esb-115-10-1-ekersan","Mercedes Dingil Bijon 100 mm Frezeli D.P.S.'Li","ESB 115 10-1","3814011171-3814010571-3814010471","Ekersan","Bijon","BİJON","2082","178.69","https://frenciniz.com/urun/249/mercedes-dingil-bijon-100-mm-frezeli-d-p-s-li-esb-115-10-1-ekersan"
"250","mercedes-dingil-bijon-100-mm-d-p-s-li-esb-114-10-1-ekersan","Mercedes Dingil Bijon 100 mm D.P.S.Li","ESB 114 10-1","4013971-3814010471-3814010571","Ekersan","Bijon","BİJON","3471","178.69","https://frenciniz.com/urun/250/mercedes-dingil-bijon-100-mm-d-p-s-li-esb-114-10-1-ekersan"
"251","mercedes-on-bijon-84-mm-frezeli-d-p-s-li-esb-113-20-1-ekersan","Mercedes Ön Bijon 84 mm Frezeli D.P.S.Li","ESB 113 20-1","3814011271","Ekersan","Bijon","BİJON","690","178.69","https://frenciniz.com/urun/251/mercedes-on-bijon-84-mm-frezeli-d-p-s-li-esb-113-20-1-ekersan"
"252","mercedes-on-bijon-84-mm-d-p-s-li-esb-112-20-1-ekersan","Mercedes Ön Bijon 84 mm D.P.S.Li","ESB 112 20-1","3814011271-3814010071","Ekersan","Bijon","BİJON","2298","178.69","https://frenciniz.com/urun/252/mercedes-on-bijon-84-mm-d-p-s-li-esb-112-20-1-ekersan"
"253","mercedes-arka-bijon-110-mm-frezeli-d-p-s-li-esb-111-10-1-ekersan","Mercedes Arka Bijon 110 mm Frezeli D.P.S.'Lİ","ESB 111 10-1","3274020471","Ekersan","Bijon","BİJON","5175","181.73","https://frenciniz.com/urun/253/mercedes-arka-bijon-110-mm-frezeli-d-p-s-li-esb-111-10-1-ekersan"
"254","bijon-mercedes-on-77-mm-dps-li-esb-110-20-1-ekersan","BİJON MERCEDES ÖN-77 MM DPS Lİ","ESB 110 20-1","3274010471-3174010371-3054010071-3814010171","Ekersan","Bijon","BİJON","2142","178.03","https://frenciniz.com/urun/254/bijon-mercedes-on-77-mm-dps-li-esb-110-20-1-ekersan"
"255","bijon-mercedes-arka-110-mm-dps-li-esb-110-10-1-ekersan","BİJON MERCEDES ARKA-110 MM DPS Lİ","ESB 110 10-1","3464010071-3814010771-4013771","Ekersan","Bijon","BİJON","4439","175.94","https://frenciniz.com/urun/255/bijon-mercedes-arka-110-mm-dps-li-esb-110-10-1-ekersan"
"256","fren-kampanasi-saf-holland-esk-290-15-ekersan","Fren Kampanası SAF Holland","ESK 290 15","1064027300-1064027310-322052J","Ekersan","Fren Kampanası","KAMPANA","68","4571.58","https://frenciniz.com/urun/256/fren-kampanasi-saf-holland-esk-290-15-ekersan"
"257","fren-kampanasi-saf-holland-esk-290-10-ekersan","Fren Kampanası SAF Holland","ESK 290 10","1064027000-1064027001-1064027010","Ekersan","Fren Kampanası","KAMPANA","7","4724.32","https://frenciniz.com/urun/257/fren-kampanasi-saf-holland-esk-290-10-ekersan"
"258","kampana-saf-wrz-wrlz-8130-esk-290-04-ekersan","KAMPANA SAF WRZ/WRLZ 8130","ESK 290 04","1064019700","Ekersan","Fren Kampanası","KAMPANA","6","3717.16","https://frenciniz.com/urun/258/kampana-saf-wrz-wrlz-8130-esk-290-04-ekersan"
"259","fren-kampanasi-ror-meritor-esk-280-10-ekersan","Fren Kampanası ROR Meritor","ESK 280 10","21021114A-21021114AV-320654J-21021164-21021114","Ekersan","Fren Kampanası","KAMPANA","112","4724.32","https://frenciniz.com/urun/259/fren-kampanasi-ror-meritor-esk-280-10-ekersan"
"260","fren-kampanasi-ror-meritor-esk-280-08-ekersan","Fren Kampanası ROR Meritor","ESK 280 08","21209701-21211030-21211030S","Ekersan","Fren Kampanası","KAMPANA","23","3782.78","https://frenciniz.com/urun/260/fren-kampanasi-ror-meritor-esk-280-08-ekersan"
"261","fren-kampanasi-ror-meritor-esk-280-03-ekersan","Fren Kampanası ROR Meritor","ESK 280 03","21023036 - 21018963 - 21209723","Ekersan","Fren Kampanası","KAMPANA","34","4571.58","https://frenciniz.com/urun/261/fren-kampanasi-ror-meritor-esk-280-03-ekersan"
"262","kampana-smb-axle-419x178-esk-250-04-ekersan","KAMPANA SMB AXLE 419X178","ESK 250 04","6166-465001-449555-M006166-AJB0465001-A5121-A1216C-A15597-MO06166-MO68445","Ekersan","Fren Kampanası","KAMPANA","9","5009.4","https://frenciniz.com/urun/262/kampana-smb-axle-419x178-esk-250-04-ekersan"
"263","fren-kampanasi-bpw-ecoplus-esk-230-26-ekersan","Fren Kampanası BPW ECOPlus","ESK 230 26","310977180-310977230","Ekersan","Fren Kampanası","KAMPANA","3","6056.36","https://frenciniz.com/urun/263/fren-kampanasi-bpw-ecoplus-esk-230-26-ekersan"
"264","fren-kampanasi-bpw-ecoplus-esk-230-05-ekersan","Fren Kampanası BPW ECOPlus","ESK 230 05","310677530-2821","Ekersan","Fren Kampanası","KAMPANA","180","6092.64","https://frenciniz.com/urun/264/fren-kampanasi-bpw-ecoplus-esk-230-05-ekersan"
"265","fren-kampanasi-esk-161-16-ekersan","Fren Kampanası","ESK 161 16","3020-1713-9380037-Y00006429","Ekersan","Fren Kampanası","KAMPANA","44","5114.45","https://frenciniz.com/urun/265/fren-kampanasi-esk-161-16-ekersan"
"266","fren-kampanasi-esk-161-15-ekersan","Fren Kampanası","ESK 161 15","301010414","Ekersan","Fren Kampanası","KAMPANA","1","5848.85","https://frenciniz.com/urun/266/fren-kampanasi-esk-161-15-ekersan"
"267","fren-kampanasi-bpw-ecoplus-esk-161-08-ekersan","Fren Kampanası BPW ECOPlus","ESK 161 08","310677630-310977460","Ekersan","Fren Kampanası","KAMPANA","6","6092.64","https://frenciniz.com/urun/267/fren-kampanasi-bpw-ecoplus-esk-161-08-ekersan"
"268","fren-kampanasi-bpw-ecoplus-esk-160-73-ekersan","Fren Kampanası BPW ECOPlus","ESK 160 73","310677590","Ekersan","Fren Kampanası","KAMPANA","3","6295.15","https://frenciniz.com/urun/268/fren-kampanasi-bpw-ecoplus-esk-160-73-ekersan"
"269","fren-kampanasi-esk-160-29-ekersan","Fren Kampanası","ESK 160 29","","Ekersan","Fren Kampanası","KAMPANA","324","4950.09","https://frenciniz.com/urun/269/fren-kampanasi-esk-160-29-ekersan"
"270","fren-kampanasi-esk-140-07-ekersan","Fren Kampanası","ESK 140 07","5000737342-5000737768-194456-192371","Ekersan","Fren Kampanası","KAMPANA","34","4453.02","https://frenciniz.com/urun/270/fren-kampanasi-esk-140-07-ekersan"
"271","fren-kampanasi-esk-070-12-ekersan","Fren Kampanası","ESK 070 12","478","Ekersan","Fren Kampanası","KAMPANA","269","3278.88","https://frenciniz.com/urun/271/fren-kampanasi-esk-070-12-ekersan"
"272","fren-kampanasi-esk-070-11-ekersan","Fren Kampanası","ESK 070 11","477","Ekersan","Fren Kampanası","KAMPANA","213","2736.08","https://frenciniz.com/urun/272/fren-kampanasi-esk-070-11-ekersan"
"273","fren-kampanasi-esk-060-52-ekersan","Fren Kampanası","ESK 060 52","7183048","Ekersan","Fren Kampanası","KAMPANA","15","8063.23","https://frenciniz.com/urun/273/fren-kampanasi-esk-060-52-ekersan"
"274","fren-kampanasi-esk-060-14-ekersan","Fren Kampanası","ESK 060 14","2479852-2479853-597516","Ekersan","Fren Kampanası","KAMPANA","16","5434.2","https://frenciniz.com/urun/274/fren-kampanasi-esk-060-14-ekersan"
"275","fren-kampanasi-bmc-no-e72012027-1-esk-030-17-ekersan","Fren Kampanası ( BMC NO: E72012027-1 )","ESK 030 17","Fren Kampanası","Ekersan","Fren Kampanası","KAMPANA","2","6763.83","https://frenciniz.com/urun/275/fren-kampanasi-bmc-no-e72012027-1-esk-030-17-ekersan"
"276","kampana-merc-actros-ateco-axor-esk-010-71-ekersan","KAMPANA MERC.ACTROS ATECO AXOR","ESK 010 71","6584210301","Ekersan","Fren Kampanası","KAMPANA","23","6284.29","https://frenciniz.com/urun/276/kampana-merc-actros-ateco-axor-esk-010-71-ekersan"
"277","fren-kampanasi-mercedes-actros-axor-atego-sk-esk-010-61-ekersan","Fren Kampanası Mercedes Actros Axor Atego SK","ESK 010 61","3874210201 - A3874210201 - A6584210301","Ekersan","Fren Kampanası","KAMPANA","22","6284.29","https://frenciniz.com/urun/277/fren-kampanasi-mercedes-actros-axor-atego-sk-esk-010-61-ekersan"
"278","fren-diski-esd-210-01-ekersan","Fren Diski","ESD 210 01","93221314005","Ekersan","Fren Diski","DİSK","16","2950.38","https://frenciniz.com/urun/278/fren-diski-esd-210-01-ekersan"
"279","fren-diski-volvo-fh-fm-fl-esd-110-01-3-ekersan","Fren Diski Volvo FH FM FL","ESD 110 01-3","85103803 - 85110496 - 7421575117 - 21575071 - 20515093","Ekersan","Fren Diski","DİSK","90","3840.54","https://frenciniz.com/urun/279/fren-diski-volvo-fh-fm-fl-esd-110-01-3-ekersan"
"280","fren-diski-volvo-fh-fm-fl-esd-110-01-1-ekersan","Fren Diski Volvo FH FM FL","ESD 110 01-1","85103803","Ekersan","Fren Diski","DİSK","96","3722.24","https://frenciniz.com/urun/280/fren-diski-volvo-fh-fm-fl-esd-110-01-1-ekersan"
"281","karsan-atak-arka-abs-li-fren-diski-esd-090-09-ekersan","KARSAN ATAK ARKA ABS'Lİ FREN DİSKİ","ESD 090 09","3010097AA","Ekersan","Fren Diski","DİSK","10","3934.93","https://frenciniz.com/urun/281/karsan-atak-arka-abs-li-fren-diski-esd-090-09-ekersan"
"282","disk-iveco-t-way-on-5802234113-esd-030-25-ekersan","DİSK İVECO T-WAY ÖN (5802234113)","ESD 030 25","5802234113","Ekersan","Fren Diski","DİSK","54","4945.25","https://frenciniz.com/urun/282/disk-iveco-t-way-on-5802234113-esd-030-25-ekersan"
"283","mekanik-fren-circiri-3-delik-10-kanal-esc-102-ekersan","Mekanik Fren Cırcırı 3 Delik 10 Kanal","ESC 102","(A) A3","Ekersan","Mekanik Fren Cırcırı","CIRCIR","60","1082.4","https://frenciniz.com/urun/283/mekanik-fren-circiri-3-delik-10-kanal-esc-102-ekersan"
"284","scania-arka-disk-bijonu-96-mm-y-m-yuvarlak-kafa-esb-918-10-r-ekersan","Scanıa Arka Disk Bijonu 96 mm Y.M. Yuvarlak Kafa","ESB 918 10-R","","Ekersan","Disk Bijonu/Civatası","BİJON","250","218.55","https://frenciniz.com/urun/284/scania-arka-disk-bijonu-96-mm-y-m-yuvarlak-kafa-esb-918-10-r-ekersan"
"285","bijon-scania-96-mm-esb-914-10-r-ekersan","BİJON SCANIA 96 MM","ESB 914 10-R","1868668","Ekersan","Bijon","BİJON","480","210.3","https://frenciniz.com/urun/285/bijon-scania-96-mm-esb-914-10-r-ekersan"
"286","bijon-scania-volvo-esb-912-20-r-ekersan","Bijon Scania Volvo","ESB 912 20-R","2285275-1868665","Ekersan","Bijon","BİJON","3781","210.3","https://frenciniz.com/urun/286/bijon-scania-volvo-esb-912-20-r-ekersan"
"287","bijon-scania-volvo-esb-912-10-r-ekersan","Bijon Scania Volvo","ESB 912 10-R","1528712","Ekersan","Bijon","BİJON","3637","210.3","https://frenciniz.com/urun/287/bijon-scania-volvo-esb-912-10-r-ekersan"
"288","bijon-scania-volvo-esb-911-20-r-ekersan","Bijon Scania Volvo","ESB 911 20-R","1368690-397266-290062","Ekersan","Bijon","BİJON","4278","215.69","https://frenciniz.com/urun/288/bijon-scania-volvo-esb-911-20-r-ekersan"
"289","bijon-scania-volvo-esb-911-10-r-ekersan","Bijon Scania Volvo","ESB 911 10-R","1368693","Ekersan","Bijon","BİJON","2595","210.3","https://frenciniz.com/urun/289/bijon-scania-volvo-esb-911-10-r-ekersan"
"290","bijon-scania-volvo-esb-910-20-r-ekersan","Bijon Scania Volvo","ESB 910 20-R","1368692-1411980-337559","Ekersan","Bijon","BİJON","1022","210.31","https://frenciniz.com/urun/290/bijon-scania-volvo-esb-910-20-r-ekersan"
"291","bijon-scania-arka-100-mm-kare-kafa-kampanali-esb-910-10-r-ekersan","BİJON SCANİA ARKA-100 MM KARE KAFA KAMPANALI","ESB 910 10-R","272853 - 1368694-SCWB0001-295953-210295953","Ekersan","Bijon","BİJON","1574","210.3","https://frenciniz.com/urun/291/bijon-scania-arka-100-mm-kare-kafa-kampanali-esb-910-10-r-ekersan"
"292","bijon-mitsubishi-on-sol-66-mm-esb-830-21-l-ekersan","BİJON MITSUBISHI ÖN/SOL-66 MM","ESB 830 21-L","","Ekersan","Bijon","BİJON","898","208.93","https://frenciniz.com/urun/292/bijon-mitsubishi-on-sol-66-mm-esb-830-21-l-ekersan"
"293","bijon-mitsubishi-on-sag-66-mm-esb-830-20-r-ekersan","BİJON MITSUBISHI ÖN/SAĞ-66 MM","ESB 830 20-R","","Ekersan","Bijon","BİJON","968","208.93","https://frenciniz.com/urun/293/bijon-mitsubishi-on-sag-66-mm-esb-830-20-r-ekersan"
"294","bijon-mitsubishi-set-l-esb-830-11-l-ekersan","BİJON MITSUBISHI (SET) L","ESB 830 11-L","","Ekersan","Bijon","BİJON","998","316.14","https://frenciniz.com/urun/294/bijon-mitsubishi-set-l-esb-830-11-l-ekersan"
"295","bijon-mitsubishi-set-r-esb-830-10-r-ekersan","BİJON MITSUBISHI (SET) R","ESB 830 10-R","","Ekersan","Bijon","BİJON","1010","316.14","https://frenciniz.com/urun/295/bijon-mitsubishi-set-r-esb-830-10-r-ekersan"
"296","bijon-maraton-on-97-mm-esb-810-20-ekersan","BİJON MARATON ÖN-97 MM","ESB 810 20","MC808846","Ekersan","Bijon","BİJON","420","214.43","https://frenciniz.com/urun/296/bijon-maraton-on-97-mm-esb-810-20-ekersan"
"297","isuzu-nova-arka-92-5-mm-m20-1-5-dis-esb-787-11-l-ekersan","ISUZU NOVA ARKA 92,5 MM M20*1,5 DİŞ","ESB 787 11-L","ISUZU NOVA ARKA 92,5 MM M20*1,5 DİŞ","Ekersan","Bijon","BİJON","894","288.65","https://frenciniz.com/urun/297/isuzu-nova-arka-92-5-mm-m20-1-5-dis-esb-787-11-l-ekersan"
"298","isuzu-nova-arka-92-5-mm-m20-1-5-dis-esb-787-10-r-ekersan","ISUZU NOVA ARKA 92,5 MM M20*1,5 DİŞ","ESB 787 10-R","ISUZU NOVA ARKA 92,5 MM M20*1,5 DİŞ","Ekersan","Bijon","BİJON","896","288.65","https://frenciniz.com/urun/298/isuzu-nova-arka-92-5-mm-m20-1-5-dis-esb-787-10-r-ekersan"
"299","isuzu-citibus-arka-sol-esb-786-11-l-ekersan","ISUZU CITIBUS ARKA SOL","ESB 786 11-L","ISUZU CITIBUS ARKA SOL","Ekersan","Bijon","BİJON","1408","288.65","https://frenciniz.com/urun/299/isuzu-citibus-arka-sol-esb-786-11-l-ekersan"
"300","isuzu-citibus-arka-sag-esb-786-10-r-ekersan","ISUZU CITIBUS ARKA SAĞ","ESB 786 10-R","ISUZU CITIBUS ARKA SAĞ","Ekersan","Bijon","BİJON","1465","288.65","https://frenciniz.com/urun/300/isuzu-citibus-arka-sag-esb-786-10-r-ekersan"
"301","bijon-mitsubishi-444-arka-sol-komple-tek-parca-esb-783-11-l-ekersan","BİJON MITSUBISHI 444 ARKA/SOL/KOMPLE/TEK PARÇA","ESB 783 11-L","","Ekersan","Bijon","BİJON","12","240.54","https://frenciniz.com/urun/301/bijon-mitsubishi-444-arka-sol-komple-tek-parca-esb-783-11-l-ekersan"
"302","mitsubishi-444-arka-sag-tek-parca-esb-783-10-r-ekersan","MITSUBİSHİ 444 ARKA SAĞ/ TEK PARÇA","ESB 783 10-R","MITSUBİSHİ 444 ARKA SAĞ/ TEK PARÇA","Ekersan","Bijon","BİJON","6","240.54","https://frenciniz.com/urun/302/mitsubishi-444-arka-sag-tek-parca-esb-783-10-r-ekersan"
"303","bijon-isuzu-npr-arka-sag-y-m-96-mm-esb-730-10-r-ekersan","BİJON ISUZU NPR ARKA/SAĞ/Y.M.-96 MM","ESB 730 10-R","","Ekersan","Bijon","BİJON","10","208.93","https://frenciniz.com/urun/303/bijon-isuzu-npr-arka-sag-y-m-96-mm-esb-730-10-r-ekersan"
"304","bijon-iveco-eurocargo-stralis-esb-693-10-ekersan","Bijon Iveco Eurocargo Stralis","ESB 693 10","42117447","Ekersan","Bijon","BİJON","1570","199.31","https://frenciniz.com/urun/304/bijon-iveco-eurocargo-stralis-esb-693-10-ekersan"
"305","tir-on-disk-bijonu-65-mm-esb-691-10-ekersan","TIR ÖN DİSK BİJONU 65 MM","ESB 691 10","42117445","Ekersan","Disk Bijonu/Civatası","BİJON","1629","186.94","https://frenciniz.com/urun/305/tir-on-disk-bijonu-65-mm-esb-691-10-ekersan"
"306","85-12-iveco-disk-bijonu-esb-650-10-ekersan","85-12 İveco Disk Bijonu","ESB 650 10","","Ekersan","Disk Bijonu/Civatası","BİJON","66","122.33","https://frenciniz.com/urun/306/85-12-iveco-disk-bijonu-esb-650-10-ekersan"
"307","eurubus-on-disk-bijonu-esb-640-20-ekersan","Eurubüs Ön Disk Bijonu","ESB 640 20","42117433-7168838","Ekersan","Disk Bijonu/Civatası","BİJON","450","164.94","https://frenciniz.com/urun/307/eurubus-on-disk-bijonu-esb-640-20-ekersan"
"308","eurobus-arka-disk-bijon-esb-640-10-ekersan","EUROBUS ARKA DİSK BİJON","ESB 640 10","42117435 , 42064829","Ekersan","Disk Bijonu/Civatası","BİJON","168","164.94","https://frenciniz.com/urun/308/eurobus-arka-disk-bijon-esb-640-10-ekersan"
"309","bijon-iveco-eurocargo-stralis-esb-621-20-ekersan","Bijon Iveco Eurocargo Stralis","ESB 621 20","2476077-7168580-42117449-42101338","Ekersan","Bijon","BİJON","2301","186.94","https://frenciniz.com/urun/309/bijon-iveco-eurocargo-stralis-esb-621-20-ekersan"
"310","bijon-iveco-eurocargo-stralis-esb-621-10-ekersan","Bijon Iveco Eurocargo Stralis","ESB 621 10","42117455-42064826","Ekersan","Bijon","BİJON","4092","199.31","https://frenciniz.com/urun/310/bijon-iveco-eurocargo-stralis-esb-621-10-ekersan"
"311","bijon-iveco-eurocargo-stralis-esb-620-20-ekersan","Bijon Iveco Eurocargo Stralis","ESB 620 20","42117452-2475870","Ekersan","Bijon","BİJON","1821","186.94","https://frenciniz.com/urun/311/bijon-iveco-eurocargo-stralis-esb-620-20-ekersan"
"312","bijon-iveco-eurocargo-stralis-esb-620-10-ekersan","Bijon Iveco Eurocargo Stralis","ESB 620 10","42117457","Ekersan","Bijon","BİJON","2987","199.31","https://frenciniz.com/urun/312/bijon-iveco-eurocargo-stralis-esb-620-10-ekersan"
"313","bijon-50-nc-arka-farkli-64-mm-esb-611-10-ekersan","BİJON 50 NC ARKA/FARKLI-64 MM","ESB 611 10","7168257","Ekersan","Bijon","BİJON","166","134.7","https://frenciniz.com/urun/313/bijon-50-nc-arka-farkli-64-mm-esb-611-10-ekersan"
"314","50-nc-on-esb-610-20-ekersan","50 NC Ön","ESB 610 20","7168346 - 7161201","Ekersan","Bijon","BİJON","34","120.96","https://frenciniz.com/urun/314/50-nc-on-esb-610-20-ekersan"
"315","bijon-iveco-eurocargo-stralis-esb-610-10-ekersan","Bijon Iveco Eurocargo Stralis","ESB 610 10","46390478-42117463-7168257","Ekersan","Bijon","BİJON","1026","120.96","https://frenciniz.com/urun/315/bijon-iveco-eurocargo-stralis-esb-610-10-ekersan"
"316","as-26-200-as-26-235-as-32-260-dingil-esb-532-10-ekersan","As 26 200 - As 26 235 - As 32 260 Dingil","ESB 532 10","21022167","Ekersan","Bijon","BİJON","280","199.31","https://frenciniz.com/urun/316/as-26-200-as-26-235-as-32-260-dingil-esb-532-10-ekersan"
"317","as-26-200-as-26-235-as-32-260-on-esb-530-20-ekersan","As 26 200 - As 26 235 - As 32 260 Ön","ESB 530 20","15033-T","Ekersan","Bijon","BİJON","1720","199.31","https://frenciniz.com/urun/317/as-26-200-as-26-235-as-32-260-on-esb-530-20-ekersan"
"318","as-26-200-as-26-235-as-32-260-arka-esb-530-10-ekersan","As 26 200 - As 26 235 - As 32 260 Arka","ESB 530 10","15034","Ekersan","Bijon","BİJON","2455","199.31","https://frenciniz.com/urun/318/as-26-200-as-26-235-as-32-260-arka-esb-530-10-ekersan"
"319","bijon-esb-461-20-ekersan","Bijon","ESB 461 20","","Ekersan","Bijon","BİJON","2392","199.31","https://frenciniz.com/urun/319/bijon-esb-461-20-ekersan"
"320","bijon-scania-volvo-esb-460-10-ekersan","Bijon Scania Volvo","ESB 460 10","20515519","Ekersan","Bijon","BİJON","510","199.31","https://frenciniz.com/urun/320/bijon-scania-volvo-esb-460-10-ekersan"
"321","bijon-esb-440-10-ekersan","Bijon","ESB 440 10","","Ekersan","Bijon","BİJON","3382","199.31","https://frenciniz.com/urun/321/bijon-esb-440-10-ekersan"
"322","bijon-ford-cargo-esb-422-10-ekersan","Bijon Ford Cargo","ESB 422 10","FC461118CA","Ekersan","Bijon","BİJON","3250","213.05","https://frenciniz.com/urun/322/bijon-ford-cargo-esb-422-10-ekersan"
"323","bijon-scania-volvo-esb-421-20-ekersan","Bijon Scania Volvo","ESB 421 20","20515515","Ekersan","Bijon","BİJON","2607","199.31","https://frenciniz.com/urun/323/bijon-scania-volvo-esb-421-20-ekersan"
"324","bijon-esb-420-20-ekersan","Bijon","ESB 420 20","","Ekersan","Bijon","BİJON","1540","199.31","https://frenciniz.com/urun/324/bijon-esb-420-20-ekersan"
"325","bijon-esb-420-10-ekersan","Bijon","ESB 420 10","81DB118CA","Ekersan","Bijon","BİJON","4023","199.31","https://frenciniz.com/urun/325/bijon-esb-420-10-ekersan"
"326","axor-ym-disk-civatasi-esb-4000-25-ekersan","AXOR YM  DİSK CİVATASI","ESB 4000 25","","Ekersan","Disk Bijonu/Civatası","BİJON","2885","91.74","https://frenciniz.com/urun/326/axor-ym-disk-civatasi-esb-4000-25-ekersan"
